tin,tax_type,yofa,period,trcd,sbcd,amount,txn_date,source_ref
100549G,CIT,2023,2023,10,,1780.32,2023-05-31,A00000677
100549G,CIT,2023,2023,20,G,-1780.32,2023-06-30,R50000672
100549G,CIT,2024,2024,10,,3403.7,2024-05-31,A00000678
100549G,CIT,2024,2024,20,G,-3403.7,2024-06-30,R50000673
100549G,CIT,2025,2025,10,,5788.54,2025-05-31,A00000679
100549G,CIT,2025,2025,20,G,-5788.54,2025-08-17,R50000674
100549G,FSS,2021,2021,10,,1277.0,2021-11-15,A00000680
100549G,FSS,2021,2021,20,G,-1277.0,2021-12-26,R50000675
100549G,FSS,2022,2022,10,,34.88,2022-05-16,A00000681
100549G,FSS,2022,2022,20,G,-34.88,2022-08-04,R50000676
100549G,FSS,2023,2023,10,,1233.59,2023-05-16,A00000682
100549G,FSS,2023,2023,20,G,-1233.59,2023-06-06,R50000677
100549G,FSS,2024,2024,10,,2381.62,2024-08-16,A00000683
100549G,FSS,2024,2024,20,G,-2381.62,2024-11-11,R50000678
100549G,FSS,2025,2025,230,,688.82,2025-02-13,A00000684
100549G,FSS,2025,2025,20,G,-688.82,2025-03-17,R50000679
100554M,PIT,2023,2023,10,,279.17,2023-05-31,A00000685
100554M,PIT,2023,2023,70,,40.94,2023-08-09,PEN
100554M,PIT,2023,2023,20,G,-157.73,2023-08-21,R50000680
100554M,PIT,2024,2024,10,,330.11,2024-05-31,A00000686
100554M,PIT,2024,2024,70,,33.8,2024-08-09,PEN
100554M,PIT,2024,2024,60,,45.56,2026-06-01,RST
100554M,PIT,2024,2024,20,G,-162.25,2024-07-08,R50000681
100554M,PIT,2025,2025,10,,852.33,2025-05-31,A00000687
100554M,PIT,2025,2025,20,G,-340.93,2025-08-24,R50000682
100563B,CIT,2020,2020,10,,400.05,2020-05-31,A00000688
100563B,CIT,2020,2020,20,G,-400.05,2020-07-17,R50000683
100563B,CIT,2021,2021,10,,571.33,2021-05-31,A00000689
100563B,CIT,2021,2021,20,G,-571.33,2021-08-26,R50000684
100563B,CIT,2022,2022,230,,397.7,2022-05-31,A00000690
100563B,CIT,2022,2022,20,G,-397.7,2022-08-10,R50000685
100563B,CIT,2023,2023,10,,770.43,2023-05-31,A00000691
100563B,CIT,2023,2023,20,G,-770.43,2023-08-21,R50000686
100563B,CIT,2024,2024,10,,1090.51,2024-05-31,A00000692
100563B,CIT,2024,2024,20,G,-1090.51,2024-07-29,R50000687
100563B,CIT,2025,2025,10,,811.87,2025-05-31,A00000693
100563B,CIT,2025,2025,20,G,-811.87,2025-08-23,R50000688
100563B,SSC,2023,2023,10,,1337.81,2023-11-15,A00000694
100563B,SSC,2023,2023,20,G,-1337.81,2023-12-21,R50000689
100563B,SSC,2024,2024,10,,2823.45,2024-08-16,A00000695
100563B,SSC,2024,2024,20,G,-2823.45,2024-09-07,R50000690
100563B,SSC,2025,2025,10,,4709.33,2025-08-16,A00000696
100563B,SSC,2025,2025,20,G,-4709.33,2025-10-26,R50000691
100563B,VAT,2021,2021,230,,623.88,2021-08-16,A00000697
100563B,VAT,2021,2021,20,G,-623.88,2021-09-29,R50000692
100563B,VAT,2022,2022,10,,1885.02,2022-05-16,A00000698
100563B,VAT,2022,2022,20,G,-1885.02,2022-05-26,R50000693
100563B,VAT,2023,2023,10,,2403.89,2023-02-13,A00000699
100563B,VAT,2023,2023,20,G,-2403.89,2023-04-16,R50000694
100563B,VAT,2024,2024,10,,2552.06,2024-02-14,A00000700
100563B,VAT,2024,2024,20,G,-2552.06,2024-03-25,R50000695
100563B,VAT,2025,2025,10,,4378.73,2025-08-16,A00000701
100563B,VAT,2025,2025,20,G,-4378.73,2025-10-01,R50000696
100563B,FSS,2023,2023,230,,2481.04,2023-02-13,A00000702
100563B,FSS,2023,2023,20,G,-2481.04,2023-03-14,R50000697
100563B,FSS,2024,2024,10,,712.64,2024-11-15,A00000703
100563B,FSS,2024,2024,20,G,-712.64,2025-01-06,R50000698
100563B,FSS,2025,2025,10,,6787.11,2025-02-13,A00000704
100563B,FSS,2025,2025,20,G,-6787.11,2025-03-17,R50000699
100567B,CIT,2021,2021,10,,77.17,2021-05-31,A00000705
100567B,CIT,2021,2021,70,,10.24,2021-08-09,PEN
100567B,CIT,2021,2021,20,G,-31.51,2021-07-07,R50000700
100567B,CIT,2022,2022,10,,38.49,2022-05-31,A00000706
100567B,CIT,2022,2022,70,,3.31,2022-08-09,PEN
100567B,CIT,2022,2022,20,G,-16.37,2022-08-06,R50000701
100567B,CIT,2023,2023,10,,104.73,2023-05-31,A00000707
100567B,CIT,2023,2023,70,,10.18,2023-08-09,PEN
100567B,CIT,2023,2023,60,,21.99,2026-06-01,RST
100567B,CIT,2023,2023,20,G,-58.22,2023-07-18,R50000702
100567B,CIT,2024,2024,10,,434.25,2024-05-31,A00000708
100567B,CIT,2024,2024,70,,41.89,2024-08-09,PEN
100567B,CIT,2024,2024,20,G,-234.29,2024-06-11,R50000703
100567B,CIT,2025,2025,10,,398.61,2025-05-31,A00000709
100567B,CIT,2025,2025,70,,32.61,2025-08-09,PEN
100567B,CIT,2025,2025,60,,26.31,2026-06-01,RST
100567B,CIT,2025,2025,20,G,-159.44,2025-08-29,R50000704
100575L,SSC,2021,2021,10,,224.56,2021-02-13,A00000710
100575L,SSC,2021,2021,70,,11.56,2021-04-24,PEN
100575L,SSC,2021,2021,60,,84.88,2026-06-01,RST
100575L,SSC,2021,2021,20,G,-50.08,2021-04-08,R50000705
100575L,SSC,2022,2022,230,,590.46,2022-05-16,A00000711
100575L,SSC,2022,2022,60,,170.05,2026-06-01,RST
100575L,SSC,2022,2022,20,G,-126.28,2022-07-18,R50000706
100575L,SSC,2023,2023,10,,3655.27,2023-08-16,A00000712
100575L,SSC,2023,2023,70,,224.76,2023-10-25,PEN
100575L,SSC,2023,2023,60,,723.74,2026-06-01,RST
100575L,SSC,2023,2023,20,G,-1609.04,2023-10-01,R50000707
100575L,SSC,2024,2024,10,,7244.39,2024-05-16,A00000713
100575L,SSC,2024,2024,60,,1043.19,2026-06-01,RST
100575L,SSC,2024,2024,20,G,-1409.45,2024-06-20,R50000708
100575L,SSC,2025,2025,10,,11938.21,2025-02-13,A00000714
100575L,SSC,2025,2025,70,,597.62,2025-04-24,PEN
100575L,SSC,2025,2025,20,G,-1306.62,2025-04-04,R50000709
100575L,PIT,2023,2023,10,,1280.98,2023-05-31,A00000715
100575L,PIT,2023,2023,70,,191.19,2023-08-09,PEN
100575L,PIT,2023,2023,60,,269.01,2026-06-01,RST
100575L,PIT,2023,2023,20,G,-449.99,2023-06-15,R50000710
100575L,PIT,2024,2024,10,,1090.17,2024-05-31,A00000716
100575L,PIT,2024,2024,70,,75.28,2024-08-09,PEN
100575L,PIT,2024,2024,20,G,-686.65,2024-07-02,R50000711
100575L,PIT,2025,2025,10,,5508.21,2025-05-31,A00000717
100575L,PIT,2025,2025,60,,363.54,2026-06-01,RST
100575L,PIT,2025,2025,20,G,-2203.28,2025-08-06,R50000712
100583H,FSS,2020,2020,10,,1050.81,2020-05-16,A00000718
100583H,FSS,2020,2020,20,G,-1050.81,2020-08-03,R50000713
100583H,FSS,2021,2021,10,,1592.55,2021-11-15,A00000719
100583H,FSS,2021,2021,20,G,-1592.55,2022-02-04,R50000714
100583H,FSS,2022,2022,10,,623.65,2022-05-16,A00000720
100583H,FSS,2022,2022,20,G,-623.65,2022-05-28,R50000715
100583H,FSS,2023,2023,10,,575.77,2023-02-13,A00000721
100583H,FSS,2023,2023,20,G,-575.77,2023-04-20,R50000716
100583H,FSS,2024,2024,10,,1228.76,2024-05-16,A00000722
100583H,FSS,2024,2024,20,G,-1228.76,2024-06-29,R50000717
100583H,FSS,2025,2025,10,,5501.7,2025-11-15,A00000723
100583H,FSS,2025,2025,20,G,-5501.7,2026-01-11,R50000718
100583H,VAT,2023,2023,10,,1814.55,2023-08-16,A00000724
100583H,VAT,2023,2023,20,G,-1814.55,2023-10-01,R50000719
100583H,VAT,2024,2024,10,,2325.13,2024-11-15,A00000725
100583H,VAT,2024,2024,20,G,-2325.13,2025-01-21,R50000720
100583H,VAT,2025,2025,10,,4164.19,2025-05-16,A00000726
100583H,VAT,2025,2025,20,G,-4164.19,2025-07-07,R50000721
100591B,CIT,2020,2020,10,,6790.63,2020-05-31,A00000727
100591B,CIT,2020,2020,70,,542.62,2020-08-09,PEN
100591B,CIT,2020,2020,60,,2933.55,2026-06-01,RST
100591B,CIT,2020,2020,20,G,-353.89,2020-08-16,R50000722
100591B,CIT,2021,2021,10,,6259.34,2021-05-31,A00000728
100591B,CIT,2021,2021,70,,632.57,2021-08-09,PEN
100591B,CIT,2021,2021,60,,2253.36,2026-06-01,RST
100591B,CIT,2021,2021,20,G,-1687.61,2021-07-20,R50000723
100591B,CIT,2022,2022,10,,12647.25,2022-05-31,A00000729
100591B,CIT,2022,2022,70,,1690.29,2022-08-09,PEN
100591B,CIT,2022,2022,60,,3642.41,2026-06-01,RST
100591B,CIT,2022,2022,20,G,-3363.2,2022-08-02,R50000724
100591B,CIT,2023,2023,10,,17284.16,2023-05-31,A00000730
100591B,CIT,2023,2023,60,,3629.67,2026-06-01,RST
100591B,CIT,2023,2023,20,G,-339.31,2023-07-15,R50000725
100591B,CIT,2024,2024,10,,17014.32,2024-05-31,A00000731
100591B,CIT,2024,2024,70,,1772.28,2024-08-09,PEN
100591B,CIT,2024,2024,60,,2347.98,2026-06-01,RST
100591B,CIT,2024,2024,20,G,-6709.6,2024-07-30,R50000726
100591B,CIT,2025,2025,10,,29821.35,2025-05-31,A00000732
100591B,CIT,2025,2025,60,,1968.21,2026-06-01,RST
100591B,CIT,2025,2025,20,G,-9564.97,2025-08-06,R50000727
100591B,FSS,2022,2022,10,,2621.67,2022-05-16,A00000733
100591B,FSS,2022,2022,70,,279.22,2022-07-25,PEN
100591B,FSS,2022,2022,60,,755.04,2026-06-01,RST
100591B,FSS,2022,2022,20,G,-615.31,2022-05-30,R50000728
100591B,FSS,2023,2023,10,,3830.52,2023-11-15,A00000734
100591B,FSS,2023,2023,70,,267.44,2024-01-24,PEN
100591B,FSS,2023,2023,20,G,-2474.91,2024-01-15,R50000729
100591B,FSS,2024,2024,10,,6309.11,2024-02-14,A00000735
100591B,FSS,2024,2024,60,,1022.08,2026-06-01,RST
100591B,FSS,2024,2024,20,G,-2656.13,2024-03-07,R50000730
100591B,FSS,2025,2025,10,,45336.44,2025-11-15,A00000736
100591B,FSS,2025,2025,60,,1360.09,2026-06-01,RST
100591B,FSS,2025,2025,20,G,-698.66,2026-02-12,R50000731
100596M,CIT,2023,2023,10,,2287.09,2023-05-31,A00000737
100596M,CIT,2023,2023,20,G,-2287.09,2023-06-28,R50000732
100596M,CIT,2024,2024,10,,2007.09,2024-05-31,A00000738
100596M,CIT,2024,2024,20,G,-2007.09,2024-07-26,R50000733
100596M,CIT,2025,2025,10,,4784.86,2025-05-31,A00000739
100596M,CIT,2025,2025,20,G,-4784.86,2025-07-30,R50000734
100596M,VAT,2022,2022,10,,483.46,2022-11-15,A00000740
100596M,VAT,2022,2022,20,G,-483.46,2022-11-26,R50000735
100596M,VAT,2023,2023,10,,868.09,2023-05-16,A00000741
100596M,VAT,2023,2023,20,G,-868.09,2023-07-28,R50000736
100596M,VAT,2024,2024,10,,2208.48,2024-02-14,A00000742
100596M,VAT,2024,2024,20,G,-2208.48,2024-05-12,R50000737
100596M,VAT,2025,2025,10,,4128.45,2025-05-16,A00000743
100596M,VAT,2025,2025,20,G,-4128.45,2025-08-08,R50000738
100596M,CIT,2020,2020,10,,1284.53,2020-05-31,A00000744
100596M,CIT,2020,2020,20,G,-1284.53,2020-06-15,R50000739
100596M,CIT,2021,2021,10,,1361.28,2021-05-31,A00000745
100596M,CIT,2021,2021,20,G,-1361.28,2021-07-30,R50000740
100596M,CIT,2022,2022,10,,1534.83,2022-05-31,A00000746
100596M,CIT,2022,2022,20,G,-1534.83,2022-06-25,R50000741
100596M,CIT,2023,2023,10,,1547.54,2023-05-31,A00000747
100596M,CIT,2023,2023,20,G,-1547.54,2023-07-28,R50000742
100596M,CIT,2024,2024,10,,3645.32,2024-05-31,A00000748
100596M,CIT,2024,2024,20,G,-3645.32,2024-08-15,R50000743
100596M,CIT,2025,2025,10,,5685.47,2025-05-31,A00000749
100596M,CIT,2025,2025,20,G,-5685.47,2025-06-18,R50000744
100596M,SSC,2022,2022,10,,925.24,2022-05-16,A00000750
100596M,SSC,2022,2022,20,G,-925.24,2022-05-27,R50000745
100596M,SSC,2023,2023,10,,1644.28,2023-05-16,A00000751
100596M,SSC,2023,2023,20,G,-1644.28,2023-06-23,R50000746
100596M,SSC,2024,2024,10,,3156.55,2024-05-16,A00000752
100596M,SSC,2024,2024,20,G,-3156.55,2024-07-16,R50000747
100596M,SSC,2025,2025,10,,6540.73,2025-11-15,A00000753
100596M,SSC,2025,2025,20,G,-6540.73,2025-12-27,R50000748
100603A,FSS,2023,2023,10,,1028.69,2023-05-16,A00000754
100603A,FSS,2023,2023,20,G,-1028.69,2023-06-07,R50000749
100603A,FSS,2024,2024,230,,3164.96,2024-11-15,A00000755
100603A,FSS,2024,2024,20,G,-3164.96,2025-01-06,R50000750
100603A,FSS,2025,2025,10,,6801.04,2025-02-13,A00000756
100603A,FSS,2025,2025,20,G,-6801.04,2025-05-04,R50000751
100613B,CIT,2022,2022,10,,3515.44,2022-05-31,A00000757
100613B,CIT,2022,2022,70,,281.84,2022-08-09,PEN
100613B,CIT,2022,2022,60,,1012.45,2026-06-01,RST
100613B,CIT,2022,2022,20,G,-2005.59,2022-08-06,R50000752
100613B,CIT,2023,2023,230,,1604.47,2023-05-31,A00000758
100613B,CIT,2023,2023,70,,197.52,2023-08-09,PEN
100613B,CIT,2023,2023,60,,336.94,2026-06-01,RST
100613B,CIT,2023,2023,20,G,-1140.06,2023-07-17,R50000753
100613B,CIT,2024,2024,10,,3263.41,2024-05-31,A00000759
100613B,CIT,2024,2024,70,,479.43,2024-08-09,PEN
100613B,CIT,2024,2024,60,,450.35,2026-06-01,RST
100613B,CIT,2024,2024,20,G,-926.29,2024-06-12,R50000754
100613B,CIT,2025,2025,10,,4480.47,2025-05-31,A00000760
100613B,CIT,2025,2025,70,,581.13,2025-08-09,PEN
100613B,CIT,2025,2025,60,,295.71,2026-06-01,RST
100613B,CIT,2025,2025,20,G,-1780.58,2025-08-01,R50000755
100613B,VAT,2023,2023,10,,860.26,2023-05-16,A00000761
100613B,VAT,2023,2023,70,,109.54,2023-07-25,PEN
100613B,VAT,2023,2023,60,,185.82,2026-06-01,RST
100613B,VAT,2023,2023,20,G,-339.81,2023-07-10,R50000756
100613B,VAT,2024,2024,10,,1468.78,2024-08-16,A00000762
100613B,VAT,2024,2024,60,,185.07,2026-06-01,RST
100613B,VAT,2024,2024,20,G,-730.15,2024-10-02,R50000757
100613B,VAT,2025,2025,10,,11705.66,2025-08-16,A00000763
100613B,VAT,2025,2025,60,,561.87,2026-06-01,RST
100613B,VAT,2025,2025,20,G,-4319.59,2025-09-05,R50000758
100613B,SSC,2022,2022,10,,4303.3,2022-11-15,A00000764
100613B,SSC,2022,2022,70,,229.3,2023-01-24,PEN
100613B,SSC,2022,2022,60,,1084.43,2026-06-01,RST
100613B,SSC,2022,2022,20,G,-1833.94,2022-12-04,R50000759
100613B,SSC,2023,2023,10,,1217.57,2023-02-13,A00000765
100613B,SSC,2023,2023,70,,71.3,2023-04-24,PEN
100613B,SSC,2023,2023,60,,284.91,2026-06-01,RST
100613B,SSC,2023,2023,20,G,-313.66,2023-03-05,R50000760
100613B,SSC,2024,2024,10,,4964.39,2024-08-16,A00000766
100613B,SSC,2024,2024,70,,562.52,2024-10-25,PEN
100613B,SSC,2024,2024,60,,625.51,2026-06-01,RST
100613B,SSC,2024,2024,20,G,-153.46,2024-11-12,R50000761
100613B,SSC,2025,2025,10,,12042.5,2025-11-15,A00000767
100613B,SSC,2025,2025,70,,1747.81,2026-01-24,PEN
100613B,SSC,2025,2025,20,G,-4817.0,2025-12-11,R50000762
100613B,FSS,2022,2022,10,,2829.58,2022-11-15,A00000768
100613B,FSS,2022,2022,70,,333.73,2023-01-24,PEN
100613B,FSS,2022,2022,20,G,-1979.79,2022-12-24,R50000763
100613B,FSS,2023,2023,10,,2128.72,2023-02-13,A00000769
100613B,FSS,2023,2023,60,,498.12,2026-06-01,RST
100613B,FSS,2023,2023,20,G,-1369.02,2023-05-10,R50000764
100613B,FSS,2024,2024,10,,7752.81,2024-05-16,A00000770
100613B,FSS,2024,2024,60,,1116.4,2026-06-01,RST
100613B,FSS,2024,2024,20,G,-4712.15,2024-07-20,R50000765
100613B,FSS,2025,2025,10,,3282.61,2025-11-15,A00000771
100613B,FSS,2025,2025,70,,455.99,2026-01-24,PEN
100613B,FSS,2025,2025,60,,98.48,2026-06-01,RST
100613B,FSS,2025,2025,20,G,-1313.04,2025-12-28,R50000766
100619M,VAT,2020,2020,10,,250.48,2020-02-14,A00000772
100619M,VAT,2020,2020,20,G,-250.48,2020-04-05,R50000767
100619M,VAT,2021,2021,10,,191.1,2021-08-16,A00000773
100619M,VAT,2021,2021,20,G,-191.1,2021-09-06,R50000768
100619M,VAT,2022,2022,10,,527.26,2022-02-13,A00000774
100619M,VAT,2022,2022,20,G,-527.26,2022-05-09,R50000769
100619M,VAT,2023,2023,10,,2129.46,2023-05-16,A00000775
100619M,VAT,2023,2023,20,G,-2129.46,2023-08-08,R50000770
100619M,VAT,2024,2024,230,,2469.07,2024-11-15,A00000776
100619M,VAT,2024,2024,20,G,-2469.07,2025-01-19,R50000771
100619M,VAT,2025,2025,10,,6698.43,2025-05-16,A00000777
100619M,VAT,2025,2025,20,G,-6698.43,2025-06-21,R50000772
100619M,CIT,2022,2022,10,,226.8,2022-05-31,A00000778
100619M,CIT,2022,2022,20,G,-226.8,2022-07-07,R50000773
100619M,CIT,2023,2023,10,,1818.31,2023-05-31,A00000779
100619M,CIT,2023,2023,20,G,-1818.31,2023-07-31,R50000774
100619M,CIT,2024,2024,10,,1911.9,2024-05-31,A00000780
100619M,CIT,2024,2024,20,G,-1911.9,2024-07-04,R50000775
100619M,CIT,2025,2025,10,,568.81,2025-05-31,A00000781
100619M,CIT,2025,2025,20,G,-568.81,2025-07-13,R50000776
100626H,SSC,2021,2021,10,,942.96,2021-08-16,A00000782
100626H,SSC,2021,2021,20,G,-942.96,2021-10-20,R50000777
100626H,SSC,2022,2022,10,,1397.23,2022-11-15,A00000783
100626H,SSC,2022,2022,20,G,-1397.23,2023-02-11,R50000778
100626H,SSC,2023,2023,10,,1047.64,2023-11-15,A00000784
100626H,SSC,2023,2023,20,G,-1047.64,2024-01-18,R50000779
100626H,SSC,2024,2024,10,,1154.97,2024-02-14,A00000785
100626H,SSC,2024,2024,20,G,-1154.97,2024-03-15,R50000780
100626H,SSC,2025,2025,10,,835.76,2025-05-16,A00000786
100626H,SSC,2025,2025,20,G,-835.76,2025-07-24,R50000781
100626H,CIT,2022,2022,10,,1341.81,2022-05-31,A00000787
100626H,CIT,2022,2022,20,G,-1341.81,2022-06-16,R50000782
100626H,CIT,2023,2023,10,,535.68,2023-05-31,A00000788
100626H,CIT,2023,2023,20,G,-535.68,2023-06-11,R50000783
100626H,CIT,2024,2024,10,,1078.08,2024-05-31,A00000789
100626H,CIT,2024,2024,20,G,-1078.08,2024-06-18,R50000784
100626H,CIT,2025,2025,10,,6916.27,2025-05-31,A00000790
100626H,CIT,2025,2025,20,G,-6916.27,2025-08-13,R50000785
100626H,CIT,2020,2020,10,,1229.57,2020-05-31,A00000791
100626H,CIT,2020,2020,20,G,-1229.57,2020-08-09,R50000786
100626H,CIT,2021,2021,10,,971.69,2021-05-31,A00000792
100626H,CIT,2021,2021,20,G,-971.69,2021-08-05,R50000787
100626H,CIT,2022,2022,10,,973.71,2022-05-31,A00000793
100626H,CIT,2022,2022,20,G,-973.71,2022-07-26,R50000788
100626H,CIT,2023,2023,10,,133.0,2023-05-31,A00000794
100626H,CIT,2023,2023,20,G,-133.0,2023-08-10,R50000789
100626H,CIT,2024,2024,230,,1228.0,2024-05-31,A00000795
100626H,CIT,2024,2024,20,G,-1228.0,2024-08-10,R50000790
100626H,CIT,2025,2025,10,,1531.06,2025-05-31,A00000796
100626H,CIT,2025,2025,20,G,-1531.06,2025-08-24,R50000791
100626H,VAT,2023,2023,10,,1819.83,2023-05-16,A00000797
100626H,VAT,2023,2023,20,G,-1819.83,2023-06-12,R50000792
100626H,VAT,2024,2024,10,,1798.35,2024-08-16,A00000798
100626H,VAT,2024,2024,20,G,-1798.35,2024-09-24,R50000793
100626H,VAT,2025,2025,230,,1718.92,2025-05-16,A00000799
100626H,VAT,2025,2025,20,G,-1718.92,2025-07-01,R50000794
100632M,SSC,2020,2020,10,,1981.49,2020-11-15,A00000800
100632M,SSC,2020,2020,70,,239.73,2021-01-24,PEN
100632M,SSC,2020,2020,60,,784.67,2026-06-01,RST
100632M,SSC,2020,2020,20,G,-1259.67,2021-01-11,R50000795
100632M,SSC,2021,2021,10,,1509.35,2021-05-16,A00000801
100632M,SSC,2021,2021,70,,205.28,2021-07-25,PEN
100632M,SSC,2021,2021,60,,543.37,2026-06-01,RST
100632M,SSC,2021,2021,20,G,-58.38,2021-07-25,R50000796
100632M,SSC,2022,2022,10,,891.3,2022-08-16,A00000802
100632M,SSC,2022,2022,20,G,-640.65,2022-09-28,R50000797
100632M,SSC,2023,2023,10,,520.01,2023-11-15,A00000803
100632M,SSC,2023,2023,70,,35.57,2024-01-24,PEN
100632M,SSC,2023,2023,20,G,-78.65,2023-12-16,R50000798
100632M,SSC,2024,2024,10,,8242.98,2024-02-14,A00000804
100632M,SSC,2024,2024,70,,1080.11,2024-04-24,PEN
100632M,SSC,2024,2024,60,,1335.36,2026-06-01,RST
100632M,SSC,2024,2024,20,G,-3958.46,2024-03-21,R50000799
100632M,SSC,2025,2025,10,,9329.46,2025-08-16,A00000805
100632M,SSC,2025,2025,70,,729.78,2025-10-25,PEN
100632M,SSC,2025,2025,60,,447.81,2026-06-01,RST
100632M,SSC,2025,2025,20,G,-3731.78,2025-10-10,R50000800
100637H,CIT,2023,2023,10,,27.04,2023-05-31,A00000806
100637H,CIT,2023,2023,60,,5.68,2026-06-01,RST
100637H,CIT,2023,2023,20,G,-7.64,2023-08-14,R50000801
100637H,CIT,2024,2024,10,,30.75,2024-05-31,A00000807
100637H,CIT,2024,2024,60,,4.24,2026-06-01,RST
100637H,CIT,2024,2024,20,G,-6.37,2024-07-13,R50000802
100637H,CIT,2025,2025,10,,45.15,2025-05-31,A00000808
100637H,CIT,2025,2025,70,,2.74,2025-08-09,PEN
100637H,CIT,2025,2025,60,,2.98,2026-06-01,RST
100637H,CIT,2025,2025,20,G,-18.06,2025-07-15,R50000803
100637H,SSC,2021,2021,10,,13.17,2021-08-16,A00000809
100637H,SSC,2021,2021,70,,1.61,2021-10-25,PEN
100637H,SSC,2021,2021,60,,4.5,2026-06-01,RST
100637H,SSC,2022,2022,10,,18.74,2022-08-16,A00000810
100637H,SSC,2022,2022,70,,1.63,2022-10-25,PEN
100637H,SSC,2022,2022,60,,5.06,2026-06-01,RST
100637H,SSC,2022,2022,20,G,-1.27,2022-10-21,R50000804
100637H,SSC,2023,2023,10,,16.08,2023-08-16,A00000811
100637H,SSC,2023,2023,70,,2.08,2023-10-25,PEN
100637H,SSC,2023,2023,20,G,-0.66,2023-09-19,R50000805
100637H,SSC,2024,2024,10,,43.69,2024-11-15,A00000812
100637H,SSC,2024,2024,70,,3.39,2025-01-24,PEN
100637H,SSC,2024,2024,60,,4.72,2026-06-01,RST
100637H,SSC,2024,2024,20,G,-24.79,2025-02-03,R50000806
100637H,SSC,2025,2025,10,,72.84,2025-11-15,A00000813
100637H,SSC,2025,2025,70,,10.88,2026-01-24,PEN
100637H,SSC,2025,2025,60,,2.19,2026-06-01,RST
100637H,SSC,2025,2025,20,G,-14.64,2026-01-04,R50000807
100637H,CIT,2021,2021,10,,15.76,2021-05-31,A00000814
100637H,CIT,2021,2021,70,,1.16,2021-08-09,PEN
100637H,CIT,2021,2021,60,,5.67,2026-06-01,RST
100637H,CIT,2021,2021,20,G,-7.95,2021-07-21,R50000808
100637H,CIT,2022,2022,10,,9.34,2022-05-31,A00000815
100637H,CIT,2022,2022,70,,0.86,2022-08-09,PEN
100637H,CIT,2022,2022,20,G,-0.56,2022-08-29,R50000809
100637H,CIT,2023,2023,10,,12.02,2023-05-31,A00000816
100637H,CIT,2023,2023,70,,1.23,2023-08-09,PEN
100637H,CIT,2023,2023,60,,2.52,2026-06-01,RST
100637H,CIT,2023,2023,20,G,-5.04,2023-06-24,R50000810
100637H,CIT,2024,2024,10,,18.23,2024-05-31,A00000817
100637H,CIT,2024,2024,70,,1.41,2024-08-09,PEN
100637H,CIT,2024,2024,20,G,-10.05,2024-06-21,R50000811
100637H,CIT,2025,2025,10,,21.25,2025-05-31,A00000818
100637H,CIT,2025,2025,60,,1.4,2026-06-01,RST
100637H,CIT,2025,2025,20,G,-6.32,2025-08-24,R50000812
100644G,CIT,2023,2023,10,,162.11,2023-05-31,A00000819
100644G,CIT,2023,2023,70,,20.25,2023-08-09,PEN
100644G,CIT,2023,2023,60,,34.04,2026-06-01,RST
100644G,CIT,2023,2023,20,G,-34.44,2023-08-05,R50000813
100644G,CIT,2024,2024,10,,146.42,2024-05-31,A00000820
100644G,CIT,2024,2024,70,,15.0,2024-08-09,PEN
100644G,CIT,2024,2024,60,,20.21,2026-06-01,RST
100644G,CIT,2024,2024,20,G,-11.18,2024-07-28,R50000814
100644G,CIT,2025,2025,10,,736.3,2025-05-31,A00000821
100644G,CIT,2025,2025,70,,92.06,2025-08-09,PEN
100644G,CIT,2025,2025,60,,48.6,2026-06-01,RST
100644G,CIT,2025,2025,20,G,-294.52,2025-07-29,R50000815
100644G,CIT,2021,2021,10,,168.89,2021-05-31,A00000822
100644G,CIT,2021,2021,60,,60.8,2026-06-01,RST
100644G,CIT,2021,2021,20,G,-85.33,2021-06-11,R50000816
100644G,CIT,2022,2022,10,,109.36,2022-05-31,A00000823
100644G,CIT,2022,2022,70,,12.91,2022-08-09,PEN
100644G,CIT,2022,2022,60,,31.5,2026-06-01,RST
100644G,CIT,2022,2022,20,G,-5.94,2022-06-19,R50000817
100644G,CIT,2023,2023,10,,249.67,2023-05-31,A00000824
100644G,CIT,2023,2023,70,,16.75,2023-08-09,PEN
100644G,CIT,2023,2023,60,,52.43,2026-06-01,RST
100644G,CIT,2023,2023,20,G,-10.51,2023-07-24,R50000818
100644G,CIT,2024,2024,10,,448.37,2024-05-31,A00000825
100644G,CIT,2024,2024,60,,61.88,2026-06-01,RST
100644G,CIT,2024,2024,20,G,-319.73,2024-08-08,R50000819
100644G,CIT,2025,2025,10,,737.1,2025-05-31,A00000826
100644G,CIT,2025,2025,60,,48.65,2026-06-01,RST
100644G,CIT,2025,2025,20,G,-123.27,2025-06-17,R50000820
100651A,VAT,2023,2023,10,,2995.17,2023-11-15,A00000827
100651A,VAT,2023,2023,60,,539.13,2026-06-01,RST
100651A,VAT,2023,2023,20,G,-1801.86,2024-01-05,R50000821
100651A,VAT,2024,2024,10,,6184.05,2024-08-16,A00000828
100651A,VAT,2024,2024,60,,779.19,2026-06-01,RST
100651A,VAT,2024,2024,20,G,-1118.1,2024-11-13,R50000822
100651A,VAT,2025,2025,10,,9419.27,2025-08-16,A00000829
100651A,VAT,2025,2025,70,,1007.38,2025-10-25,PEN
100651A,VAT,2025,2025,60,,452.12,2026-06-01,RST
100651A,VAT,2025,2025,20,G,-459.16,2025-11-06,R50000823
100651A,SSC,2020,2020,10,,2099.24,2020-02-14,A00000830
100651A,SSC,2020,2020,60,,944.66,2026-06-01,RST
